time,"	Load0","	Load1","	Load2","	Load3","	Load4","	Load5","	Load6"
2020031710.58.37.51,	1,	1,	1,	1,	0,	0,	1
2020031710.58.38.52,	1,	1,	1,	1,	0,	0,	0
2020031710.58.39.52,	1,	1,	1,	1,	0,	0,	0
2020031710.58.40.52,	1,	1,	1,	1,	0,	0,	0
2020031710.58.41.52,	0,	1,	1,	1,	0,	0,	0
2020031710.58.42.52,	0,	0,	0,	1,	0,	0,	0
2020031710.58.43.52,	0,	0,	0,	1,	0,	0,	0
2020031710.58.44.52,	0,	0,	0,	0,	0,	0,	0
2020031710.58.45.52,	0,	0,	0,	0,	0,	0,	0
2020031710.58.46.52,	0,	0,	0,	0,	0,	0,	0
2020031710.58.47.52,	0,	0,	0,	0,	0,	0,	0
2020031710.58.48.52,	0,	0,	0,	0,	0,	0,	0
2020031710.58.49.52,	0,	0,	0,	0,	0,	0,	0
2020031710.58.50.52,	0,	0,	0,	0,	0,	0,	0
2020031710.58.51.52,	0,	0,	0,	0,	0,	0,	0
2020031710.58.52.52,	0,	0,	0,	0,	0,	0,	0
2020031710.58.53.52,	0,	0,	0,	0,	0,	0,	0
2020031710.58.54.52,	0,	0,	0,	0,	0,	0,	0
2020031710.58.55.52,	0,	0,	0,	0,	0,	0,	0
2020031710.58.56.52,	0,	0,	0,	0,	0,	0,	0
2020031710.58.57.52,	0,	0,	0,	0,	0,	0,	0
2020031710.58.58.52,	0,	0,	0,	0,	0,	0,	0
2020031710.58.59.52,	0,	0,	0,	0,	0,	0,	0
2020031710.59.00.52,	0,	0,	0,	0,	0,	0,	0
2020031710.59.01.52,	0,	0,	0,	0,	0,	0,	0
2020031710.59.02.52,	0,	0,	0,	0,	0,	0,	0
2020031710.59.03.52,	0,	0,	0,	1,	1,	0,	0
2020031710.59.04.52,	1,	0,	1,	1,	1,	0,	1
2020031710.59.05.52,	1,	1,	1,	1,	1,	1,	1
2020031710.59.06.52,	1,	1,	1,	1,	1,	1,	1
2020031710.59.07.52,	1,	1,	1,	1,	1,	1,	1
2020031710.59.08.52,	1,	1,	1,	1,	1,	1,	1
2020031710.59.09.52,	1,	1,	1,	1,	1,	1,	1
2020031710.59.10.52,	1,	1,	1,	1,	1,	1,	1
2020031710.59.11.52,	1,	1,	1,	1,	1,	1,	1
2020031710.59.12.52,	1,	1,	1,	1,	1,	1,	1
2020031710.59.13.52,	1,	1,	1,	1,	1,	1,	1
2020031710.59.14.52,	1,	1,	1,	1,	1,	1,	1
2020031710.59.15.52,	1,	1,	1,	1,	1,	1,	1
2020031710.59.16.52,	1,	1,	1,	1,	1,	1,	1
2020031710.59.17.53,	1,	1,	1,	1,	1,	1,	1
2020031710.59.18.53,	1,	1,	1,	1,	1,	1,	1
2020031710.59.19.53,	1,	1,	1,	1,	1,	1,	1
2020031710.59.20.53,	1,	1,	1,	1,	1,	1,	1
2020031710.59.21.53,	1,	1,	1,	1,	1,	1,	1
2020031710.59.22.53,	1,	1,	1,	1,	1,	1,	1
2020031710.59.23.53,	1,	1,	1,	1,	1,	1,	1
2020031710.59.24.53,	1,	1,	1,	1,	1,	1,	1
2020031710.59.25.53,	1,	1,	1,	1,	1,	1,	1
2020031710.59.26.53,	1,	1,	1,	1,	1,	1,	1
2020031710.59.27.53,	1,	1,	1,	1,	1,	1,	1
2020031710.59.28.54,	1,	1,	1,	1,	1,	1,	1
2020031710.59.29.54,	1,	1,	1,	1,	1,	1,	1
2020031710.59.30.54,	1,	1,	1,	1,	1,	1,	1
2020031710.59.31.54,	1,	1,	1,	1,	1,	1,	1
2020031710.59.32.54,	1,	1,	1,	1,	1,	1,	1
2020031710.59.33.54,	1,	1,	1,	1,	1,	1,	1
2020031710.59.34.54,	1,	1,	1,	1,	1,	1,	1
2020031710.59.35.54,	1,	1,	1,	1,	1,	1,	1
2020031710.59.36.54,	1,	1,	1,	1,	1,	1,	1
2020031710.59.37.54,	1,	1,	1,	1,	1,	1,	1
2020031710.59.38.54,	1,	1,	1,	1,	1,	1,	1
2020031710.59.39.54,	1,	1,	1,	1,	1,	1,	1
2020031710.59.40.54,	1,	1,	1,	1,	1,	1,	1
2020031710.59.41.54,	1,	1,	1,	1,	1,	1,	1
2020031710.59.42.54,	1,	1,	1,	1,	1,	1,	1
2020031710.59.43.54,	1,	1,	1,	1,	1,	1,	1
2020031710.59.44.54,	1,	1,	1,	1,	1,	1,	1
2020031710.59.45.84,	1,	1,	1,	1,	1,	1,	1
