time,"	Load0","	Load1","	Load2","	Load3","	Load4","	Load5","	Load6"
2020033011.15.26.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.15.31.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.15.36.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.15.41.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.15.46.10,"	1","	1","	1","	1","	1","	1","	1"
2020033011.15.51.10,"	1","	1","	1","	1","	1","	1","	1"
2020033011.15.56.10,"	1","	1","	1","	1","	1","	1","	1"
2020033011.16.01.10,"	1","	1","	1","	1","	1","	1","	1"
2020033011.16.06.10,"	1","	1","	1","	1","	1","	1","	1"
2020033011.16.11.10,"	1","	1","	1","	1","	1","	1","	1"
2020033011.16.16.10,"	1","	1","	1","	1","	1","	1","	1"
2020033011.16.21.10,"	1","	1","	1","	1","	1","	1","	1"
2020033011.16.26.10,"	1","	1","	1","	1","	1","	1","	1"
2020033011.16.31.10,"	1","	1","	1","	1","	1","	1","	1"
2020033011.16.36.10,"	1","	1","	1","	1","	1","	1","	1"
2020033011.16.41.10,"	1","	1","	1","	1","	1","	1","	1"
2020033011.16.46.10,"	1","	1","	1","	1","	1","	1","	1"
2020033011.16.51.10,"	1","	1","	1","	1","	1","	1","	1"
2020033011.16.56.11,"	1","	1","	1","	1","	1","	1","	1"
2020033011.17.01.11,"	1","	1","	1","	1","	1","	1","	1"
2020033011.17.06.11,"	1","	1","	1","	1","	1","	1","	1"
2020033011.17.11.11,"	1","	1","	1","	1","	1","	1","	1"
2020033011.17.16.11,"	1","	1","	1","	1","	1","	1","	1"
2020033011.17.21.11,"	1","	1","	1","	1","	1","	1","	1"
2020033011.17.26.11,"	1","	1","	1","	1","	1","	1","	1"
2020033011.17.31.11,"	1","	1","	1","	1","	1","	1","	1"
2020033011.17.36.11,"	1","	1","	1","	1","	1","	1","	1"
2020033011.17.41.11,"	1","	1","	1","	1","	1","	1","	1"
2020033011.17.46.11,"	1","	1","	1","	1","	1","	1","	1"
2020033011.17.51.11,"	1","	1","	1","	1","	1","	1","	1"
2020033011.17.56.11,"	1","	1","	1","	1","	1","	1","	1"
2020033011.18.01.11,"	1","	1","	1","	1","	1","	1","	1"
2020033011.18.06.11,"	1","	1","	1","	1","	1","	1","	1"
2020033011.18.11.11,"	1","	1","	1","	1","	1","	1","	1"
2020033011.18.16.11,"	1","	1","	1","	1","	1","	1","	1"
2020033011.18.21.11,"	1","	1","	1","	1","	1","	1","	1"
2020033011.18.26.11,"	1","	1","	1","	1","	1","	1","	1"
2020033011.18.31.11,"	1","	1","	1","	1","	1","	1","	1"
2020033011.18.36.11,"	1","	1","	1","	1","	1","	1","	1"
2020033011.18.41.11,"	1","	1","	1","	1","	1","	1","	1"
2020033011.18.46.11,"	1","	1","	1","	1","	1","	1","	1"
2020033011.18.51.11,"	1","	1","	1","	1","	1","	1","	1"
2020033011.18.56.11,"	1","	1","	1","	1","	1","	1","	1"
2020033011.19.01.11,"	1","	1","	1","	1","	1","	1","	1"
2020033011.19.06.11,"	1","	1","	1","	1","	1","	1","	1"
2020033011.19.11.11,"	1","	1","	1","	1","	1","	1","	1"
2020033011.19.16.11,"	1","	1","	1","	1","	1","	1","	1"
2020033011.19.21.12,"	1","	1","	1","	1","	1","	1","	1"
2020033011.19.26.12,"	1","	1","	1","	1","	1","	1","	1"
2020033011.19.31.12,"	1","	1","	1","	1","	1","	1","	1"
2020033011.19.36.12,"	1","	1","	1","	1","	1","	1","	1"
2020033011.19.41.12,"	1","	1","	1","	1","	1","	1","	1"
2020033011.19.46.12,"	1","	1","	1","	1","	1","	1","	1"
2020033011.19.51.12,"	1","	1","	1","	1","	1","	1","	1"
2020033011.19.56.12,"	1","	1","	1","	1","	1","	1","	1"
2020033011.20.01.12,"	1","	1","	1","	1","	1","	1","	1"
2020033011.20.06.12,"	1","	1","	1","	1","	1","	1","	1"
2020033011.20.11.12,"	1","	1","	1","	1","	1","	1","	1"
2020033011.20.16.12,"	1","	1","	1","	1","	1","	1","	1"
2020033011.20.21.12,"	1","	1","	1","	1","	1","	1","	1"
2020033011.20.26.12,"	1","	1","	1","	1","	1","	1","	1"
2020033011.20.31.12,"	1","	1","	1","	1","	1","	1","	1"
2020033011.20.36.12,"	1","	1","	1","	1","	1","	1","	1"
2020033011.20.41.12,"	1","	1","	1","	1","	1","	1","	1"
2020033011.20.46.12,"	1","	1","	1","	1","	1","	1","	1"
2020033011.20.51.12,"	1","	1","	1","	1","	1","	1","	1"
2020033011.20.56.12,"	1","	1","	1","	1","	1","	1","	1"
2020033011.21.01.12,"	1","	1","	1","	1","	1","	1","	1"
2020033011.21.06.12,"	1","	1","	1","	1","	1","	1","	1"
2020033011.21.11.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.21.16.12,"	1","	1","	1","	1","	1","	1","	1"
2020033011.21.21.12,"	1","	1","	1","	1","	1","	1","	1"
2020033011.21.26.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.21.31.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.21.36.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.21.41.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.21.46.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.21.51.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.21.56.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.22.01.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.22.06.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.22.11.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.22.16.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.22.21.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.22.26.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.22.31.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.22.36.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.22.41.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.22.46.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.22.51.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.22.56.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.23.01.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.23.06.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.23.11.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.23.16.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.23.21.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.23.26.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.23.31.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.23.36.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.23.41.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.23.46.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.23.51.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.23.56.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.24.01.13,"	1","	1","	1","	1","	1","	1","	1"
